Gender,FavSeason,WritingHand,Year,College,Domestic,FromMinnesota,OnCampus,Shower,Movie,Hair,FavSocialMedia,HoursSpentOnSocialMedia,HoursExercise,HoursClasses,SleepWeekday,SleepWeekend,LegalizingMarijuana,HighSchoolGPA,CollegeGPA,Tattoos,TrafficTickets,TextWhileDriving,Chocholate
Female,Summer,Right,Sophomore,CBS,U.S.,No,Yes,Morning,1,55,TikTok,2,2,4,6,7,Yes,4,3.67,0,1,No,42
Female,Winter,Right,Sophomore,CBS,U.S.,No,No,Evening,None,90,Others,2,1,4,7,9,Yes,3.8,3.9,0,0,No,42
Male,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,None,0,TikTok,2,1,4,7,9,No,3.99,4,0,0,Yes,43
Male,Winter,Right,Junior,CBS,U.S.,Yes,No,Depends,None,0,Instagram,2,3,5,5,24,Not sure,0,0,0,0,No,43
Female,Spring,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,None,0,Instagram,3,1,4,7,10,Yes,4,4,0,0,No,43
Female,Summer,Right,Freshman,CBS,U.S.,Yes,Yes,Morning,2,30,TikTok,3,2,6,8,8,Yes,4,0,0,0,No,43
Female,Summer,Right,Junior,CBS,U.S.,No,Yes,Morning,1,80,TikTok,3,1,8,7,8,Not sure,4,3.6,0,3,No,43
Female,Spring,Right,Sophomore,CBS,U.S.,No,Yes,Evening,None,215,TikTok,8,0.25,6,10,8,Yes,3.948,3.615,2,0,Yes,43
Female,Summer,Right,Sophomore,CBS,U.S.,Yes,Yes,Depends,None,65,Instagram,2,2,6,7,8,Yes,3.8,3.5,0,0,Yes,44
Male,Fall,Right,Junior,CBS,U.S.,No,Yes,Morning,None,35,TikTok,1,1,4,8,7,Yes,3.5,3.5,1,4,No,45
Female,Spring,Right,Sophomore,CBS,U.S.,Yes,No,Depends,1,45,Instagram,2,1,4,7,8,Not sure,3.8,3.4,0,0,No,45
Female,Winter,Right,Sophomore,CBS,U.S.,Yes,Yes,Evening,1,50,TikTok,3,1,5,8,10,Yes,4,3.99,0,1,Yes,45
Female,Spring,Right,Junior,CBS,U.S.,No,Yes,Depends,None,55,Instagram,3,1,10,6,8,Yes,3.66,3.503,0,0,No,45
Female,Fall,Right,Sophomore,CBS,U.S.,Yes,No,Evening,2,140,TikTok,3,1,4,8,10,Yes,3.6,3.75,0,1,No,45
Female,Fall,Right,Sophomore,CBS,U.S.,Yes,Yes,Depends,1,20,TikTok,4,1,7,7,9,Yes,4,3.93,0,0,No,45
Male,Winter,Right,Sophomore,CBS,Prefer not to answer,No,No,Depends,None,0,Others,1,1,9,8,8,Yes,3.7,3.4,0,0,No,46
Female,Fall,Right,Freshman,CBS,U.S.,Yes,No,Depends,1,15,YouTube,2,1,4,8,8,Yes,3.8,3.6,0,0,No,46
Female,Fall,Right,Sophomore,CBS,U.S.,Yes,Yes,Morning,1,145,YouTube,2,3,5,7.5,7.5,Yes,4,3.7,0,0,No,46
Male,Fall,Left,Freshman,CBS,U.S.,Yes,No,Evening,None,20,Instagram,3,0,4,6,7,Not sure,3.8,4,0,-1,No,46
Female,Spring,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,1,120,YouTube,3,0,4,7,8,Yes,3.98,0,0,0,No,46
Male,Summer,Right,Sophomore,CBS,U.S.,Yes,Yes,Depends,None,30,Instagram,2,1,3,8,8,Yes,3.7,0,0,0,No,47
Female,Winter,Right,Sophomore,CBS,U.S.,Yes,Yes,Depends,1,0,Instagram,3,1,8,8,8,Yes,3.97,3.8,0,0,No,47
Female,Summer,Right,Junior,CBS,U.S.,Yes,Yes,Evening,None,30,TikTok,3,1,4,8,8,Yes,4,3.9,0,0,No,47
Female,Fall,Right,Junior,CBS,U.S.,No,No,Evening,1,300,TikTok,3,0.5,6,8,8,Yes,3.95,3.5,0,0,No,47
Female,Summer,Right,Sophomore,CBS,U.S.,Yes,Yes,Morning,1,35,TikTok,3.5,0.5,6,7,8,No,4,3.711,0,0,Yes,47
Female,Spring,Right,Sophomore,CBS,U.S.,No,No,Depends,None,30,TikTok,1,1,5,9,10,Yes,3.93,3.24,2,0,No,48
Female,Fall,Right,Freshman,CBS,U.S.,Yes,No,Morning,1,50,TikTok,2,1,4,5,8,No,3.9,0,0,-1,No,48
Female,Spring,Right,Freshman,CBS,U.S.,Yes,No,Morning,1,100,Instagram,4,1.5,7,7,10,Not sure,3.8,0,0,0,No,48
